Game_ID,BGG_Rank,Game_Name,Length,Width,Height,Pounds,Ounces,Ounces,Retail,Wholesale,M1,M2,M3,M4,M5,M6,M7,M8,S1,S2,S3,S4,S5,S6,S7,S8,T1,T2,T3,T4,Complexity,BGG_Rating,Economist,General,Puzzle_Solver,Collector,Casual,Gambler,Culturalist,Economist_Mechanic_Match_1,Economist_Mechanic_Match_2,Economist_Mechanic_Match_3,Economist_Mechanic_Match_4,Economist_Mechanic_Match_5,Economist_Mechanic_Match_6,Economist_Mechanic_Match_7,Economist_Mechanic_Match_8,Economist_Mechanic_Match_9,Economist Match Total,Economist_Style_Match_1,Economist_Style_Match_2,Economist_Style_Match_3,Economist_Style_Match_4,Economist_Style_Match_5,Economist_Style_Match_6,Economist_Style_Match_7,Economist_Style_Match_8,Economist_Style_Match_Total
205059,23,Mansions of Madness: Second Edition,,,,,,0,,,Area Movement,Co-operative Play,Dice Rolling,Hand Management,Modular Board,Partnerships,Pick-up and Deliver,Role Playing,Adventure,Exploration,Miniatures,Murder/Mystery,Puzzle,,,,Fantasy,Fighting,Horror,,2.646,8.34513,0.75758975,0.7292577,0.81588975,0.65077565,0.69242565,0.8290077,0.7600513,0,0,0,1,0,0,1,0,0,0.666,0,1,1,1,1,0,0,0,1
170216,15,Blood Rage,,,,,,0,,,Action Point Allowance System,Area Control / Area Influence,Area Movement,Card Drafting,Hand Management,Memory,Simultaneous Action Selection,,Miniatures,,,,,,,,Fantasy,Fighting,Mythology,,2.8963,8.17101,0.858855,0.930676,0.808955,0.835797,0.885897,0.830626,0.805244,0,0,0,1,1,0,0,0,0,0.666,1,0,0,0,0,0,0,0,1
83330,207,Mansions of Madness,,,,,,0,,,Area Movement,Dice Rolling,Hand Management,Modular Board,Partnerships,Pick-up and Deliver,Role Playing,Variable Player Powers,Adventure,Exploration,Miniatures,Murder/Mystery,Puzzle,,,,Fantasy,Fighting,Horror,,3.2398,7.39928,0.75761775,0.7792413,0.74931775,0.73406485,0.65916485,0.8293413,0.7601297,0,0,1,0,0,1,0,0,0,0.666,0,1,1,1,1,0,0,0,1
91872,385,Dungeons & Dragons: The Legend of Drizzt Board Game,,,,,,0,,,Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Role Playing,,,,Adventure,Exploration,Miniatures,,,,,,Fantasy,Fighting,,,2.6345,7.34477,0.70865275,0.8503333,0.95845275,0.69211385,0.90871385,0.9500833,0.8841777,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
554,477,La Città,,,,,,0,,,Area Control / Area Influence,Card Drafting,Commodity Speculation,Modular Board,Tile Placement,,,,City Building,Civilization,Territory Building,,,,,,Renaissance,,,,3.2729,7.09857,0.93219,0.818878,0.86564,0.738666,0.905316,0.818728,0.777482,0,1,1,0,1,0,0,0,0,0.999,1,1,1,0,0,0,0,0,1
483,453,Diplomacy,,,,,,0,,,Area Control / Area Influence,Area Movement,Player Elimination,Simultaneous Action Selection,,,,,Bluffing,Negotiation,Wargame,,,,,,Political,Post-Napoleonic,,,3.3698,7.06755,0.49798425,0.7375811,0.49798425,0.56042795,0.37717795,0.6373811,0.6710059,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
205637,42,Arkham Horror: The Card Game,,,,,,0,,,Co-operative Play,Deck / Pool Building,Hand Management,Role Playing,Variable Player Powers,,,,Adventure,Card Game,Collectible Components,,,,,,Fantasy,Horror,,,3.0252,8.42524,0.87523825,0.9003859,0.89193825,0.94198355,0.87553355,0.8502859,0.8844171,0,1,1,0,0,0,0,0,0,0.666,0,1,1,0,0,0,0,0,1
132531,45,Roll for the Galaxy,,,,,,0,,,Deck / Pool Building,Dice Rolling,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers,Worker Placement,,,Civilization,Dice,Economic,,,,,,Science Fiction,,,,2.7594,7.85525,0.652575,0.72329,0.552675,0.627005,0.393805,0.72329,0.65431,1,0,0,0,0,1,0,0,0,0.666,1,1,1,0,0,0,0,0,1
155821,282,Inis,,,,,,0,,,Area Control / Area Influence,Area Movement,Card Drafting,Deck / Pool Building,Hand Management,Memory,Tile Placement,,Card Game,,,,,,,,Ancient,Mythology,,,2.9831,7.83474,0.936752,0.9239524,0.803352,0.9112028,0.9113528,0.7240024,0.7729056,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
143693,180,Glass Road,,,,,,0,,,Card Drafting,Set Collection,Simultaneous Action Selection,Tile Placement,Variable Phase Order,,,,City Building,Economic,,,,,,,Medieval,,,,2.9681,7.49809,0.86586075,0.8891329,0.81596075,0.84560505,0.89570505,0.8390329,0.8248601,1,0,0,1,0,0,0,0,0,0.666,1,1,0,0,0,0,0,0,1
124708,160,Mice and Mystics,,,,,,0,,,Area Movement,Co-operative Play,Dice Rolling,Role Playing,Variable Player Powers,,,,Adventure,Dice,Exploration,Miniatures,,,,,Fantasy,Fighting,,,2.6257,7.48066,0.58697175,0.7742661,0.74517175,0.64501045,0.65336045,0.8240661,0.7484709,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
30380,356,Cuba,,,,,,0,,,Auction/Bidding,Hand Management,Variable Phase Order,Voting,,,,,Economic,,,,,,,,,,,,3.2735,7.17693,0.66324975,0.7159497,0.73819975,0.71849965,0.61029965,0.8156997,0.6789993,0,1,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
9440,427,Maharaja: The Game of Palace Building in India,,,,,,0,,,Area Control / Area Influence,Point to Point Movement,Route/Network Building,Simultaneous Action Selection,Variable Player Powers,,,,City Building,,,,,,,,,,,,3.2,7.17048,0.67490375,0.8298345,0.61665375,0.65156525,0.59331525,0.7297845,0.7615805,0,0,1,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
